stid,station_name,lat,lon,elev,begints,iem_network
EDKA,Aachen Merzbruck,50.8242,6.187,191.069,2018-01-12 07:00:00-06,DE__ASOS
EDAC,ALTENBURG-NOBITZ,50.98182,12.50636,195,2011-01-03 01:20:00-06,DE__ASOS
ETHA,ALTENSTADT/SCHON,47.83639,10.87222,760,2011-08-22 22:20:00-05,DE__ASOS
EDMA,AUGSBERG/MULHAUS,48.42611,10.94306,463,2011-07-02 00:20:00-05,DE__ASOS
EDDB,BERLIN/SCHONEFEL,52.38222,13.5325,48,2010-12-31 18:20:00-06,DE__ASOS
EDDT,BERLIN/TEGEL (FA,52.56441,13.30882,37,2010-12-31 18:20:00-06,DE__ASOS
EDMB,Biberach An Der Riss Airfield,48.111,9.7628,577.393,,DE__ASOS
EDVE,BRAUNSCHWEIG    ,52.29306,10.44861,88,2011-08-22 14:20:00-05,DE__ASOS
EDDW,BREMEN          ,53.0475,8.78667,5,2010-12-31 18:20:00-06,DE__ASOS
ETHB,BUCKEBURG(GER-AR,52.28194,9.08778,78,2011-08-22 17:20:00-05,DE__ASOS
ETSB,BUECHEL         ,50.17389,7.06333,486,2011-08-22 14:20:00-05,DE__ASOS
ETHC,CELLE (GER-ARMY),52.59528,10.02806,52,2011-08-22 14:20:00-05,DE__ASOS
EDBC,COCHSTEDT ARPT  ,51.85638,11.42028,181,2010-12-31 18:20:00-06,DE__ASOS
ETOR,COLEMAN (USA-AF),49.56357,8.46339,94,2011-08-22 23:55:00-05,DE__ASOS
ETND,DIEPHOLZ (GER-AF,52.59028,8.34639,43,2011-08-22 23:20:00-05,DE__ASOS
EDTD,DONAUESCHINGEN  ,47.97333,8.52222,680,2011-08-23 00:50:00-05,DE__ASOS
EDLW,DORTMUND/WICKEDE,51.51831,7.61224,127,2011-08-22 14:20:00-05,DE__ASOS
EDDC,DRESDEN/KLOTZSCH,51.12917,13.75611,226,2010-12-31 18:20:00-06,DE__ASOS
EDDL,DUESSELDORF     ,51.2975,6.76917,44,2010-12-31 18:20:00-06,DE__ASOS
EDFE,EGELSBACH       ,49.96083,8.6415,118,2010-12-31 18:20:00-06,DE__ASOS
ETSE,ERDING (GER-AFB),48.32233,11.94867,467,2011-08-23 00:20:00-05,DE__ASOS
