,Store,regions_observed,mapped_region
275654,5,SN,SN
275655,6,SN,SN
275695,55,SN,SN
275697,57,SN,SN
275699,60,SN,SN
275730,95,SN,SN
275731,96,SN,SN
275732,97,SN,SN
275751,121,SN,SN
275763,138,SN,SN
275793,178,SN,SN
275868,266,SN,SN
275873,271,SN,SN
275877,276,SN,SN
275886,291,SN,SN
275910,318,SN,SN
275913,321,SN,SN
275946,357,SN,SN
275987,401,SN,SN
276013,436,SN,SN
276014,437,SN,SN
276015,438,SN,SN
276020,443,SN,SN
276021,444,SN,SN
276051,476,SN,SN
276104,544,SN,SN
276164,614,SN,SN
276167,617,SN,SN
276174,626,SN,SN
276180,634,SN,SN
276194,654,SN,SN
276208,672,SN,SN
276220,686,SN,SN
276238,708,SN,SN
276251,726,SN,SN
276266,743,SN,SN
276267,745,SN,SN
276296,779,SN,SN
276297,780,SN,SN
276304,787,SN,SN
276311,794,SN,SN
276314,798,SN,SN
276321,808,SN,SN
276325,812,SN,SN
276340,830,SN,SN
276346,836,SN,SN
276351,841,SN,SN
276362,854,SN,SN
276375,869,SN,SN
276379,873,SN,SN
276395,892,SN,SN
276401,899,SN,SN
276414,918,SN,SN
276415,921,SN,SN
276426,933,SN,SN
276433,940,SN,SN
276454,963,SN,SN
276459,968,SN,SN
276467,978,SN,SN
276471,982,SN,SN
276478,990,SN,SN
276481,993,SN,SN
276483,995,SN,SN
276484,996,SN,SN
276487,999,SN,SN
276501,1017,SN,SN
276506,1023,SN,SN
276516,1034,SN,SN
276517,1035,SN,SN
276550,1074,SN,SN
276557,1082,SN,SN
276565,1090,SN,SN
276567,1093,SN,SN
276571,1098,SN,SN
276578,1108,SN,SN
229717,28,"BW, BY, ST",ST
229726,37,"BW, BY, ST",ST
229743,54,"BW, BY, ST",ST
229754,65,"BW, BY, ST",ST
229767,78,"BW, BY, ST",ST
229777,88,"BW, BY, ST",ST
229812,123,"BW, BY, ST",ST
229840,151,"BW, BY, ST",ST
229856,167,"BW, BY, ST",ST
229866,177,"BW, BY, ST",ST
229892,203,"BW, BY, ST",ST
229914,225,"BW, BY, ST",ST
229921,232,"BW, BY, ST",ST
230013,324,"BW, BY, ST",ST
230016,327,"BW, BY, ST",ST
230021,332,"BW, BY, ST",ST
230050,361,"BW, BY, ST",ST
230055,366,"BW, BY, ST",ST
230064,375,"BW, BY, ST",ST
230070,381,"BW, BY, ST",ST
230071,382,"BW, BY, ST",ST
230085,396,"BW, BY, ST",ST
230091,402,"BW, BY, ST",ST
230143,454,"BW, BY, ST",ST
230149,460,"BW, BY, ST",ST
230151,462,"BW, BY, ST",ST
230168,479,"BW, BY, ST",ST
230171,482,"BW, BY, ST",ST
230172,483,"BW, BY, ST",ST
230178,489,"BW, BY, ST",ST
230192,503,"BW, BY, ST",ST
230248,559,"BW, BY, ST",ST
230272,583,"BW, BY, ST",ST
230297,608,"BW, BY, ST",ST
230324,635,"BW, BY, ST",ST
230338,649,"BW, BY, ST",ST
230353,664,"BW, BY, ST",ST
230377,688,"BW, BY, ST",ST
230404,715,"BW, BY, ST",ST
230424,735,"BW, BY, ST",ST
230436,747,"BW, BY, ST",ST
230470,781,"BW, BY, ST",ST
230475,786,"BW, BY, ST",ST
230517,828,"BW, BY, ST",ST
230565,876,"BW, BY, ST",ST
230567,878,"BW, BY, ST",ST
230578,889,"BW, BY, ST",ST
230599,910,"BW, BY, ST",ST
230661,972,"BW, BY, ST",ST
230670,981,"BW, BY, ST",ST
230695,1006,"BW, BY, ST",ST
230718,1029,"BW, BY, ST",ST
230719,1030,"BW, BY, ST",ST
230721,1032,"BW, BY, ST",ST
230732,1043,"BW, BY, ST",ST
230735,1046,"BW, BY, ST",ST
293439,28,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293446,37,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293459,54,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293469,65,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293480,78,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293489,88,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293518,123,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293537,151,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293549,167,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293557,177,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293577,203,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293596,225,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293602,232,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293681,324,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293684,327,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293689,332,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293715,361,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293719,366,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293728,375,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293734,381,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293735,382,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293748,396,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293753,402,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293796,454,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293801,460,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293803,462,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293818,479,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293821,482,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293822,483,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293827,489,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293836,503,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293882,559,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293903,583,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293925,608,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293946,635,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293955,649,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293968,664,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
293987,688,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294007,715,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294025,735,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294034,747,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294063,781,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294068,786,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294103,828,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294147,876,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294149,878,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294158,889,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294172,910,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294228,972,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294235,981,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294257,1006,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294276,1029,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294277,1030,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294279,1032,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294288,1043,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
294291,1046,"BB, HB, HH, MV, NI, SH, SN, ST, TH",ST
861137,28,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861146,37,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861163,54,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861174,65,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861187,78,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861197,88,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861232,123,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861260,151,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861276,167,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861286,177,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861312,203,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861334,225,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861341,232,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861433,324,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861436,327,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861441,332,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861470,361,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861475,366,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
